tarih,icerik,orijinal_url
2025-07-28,[Tarih: 2025-07-28] Yeilay gnlllk Kamp pekyolu'nda balad,https://www.instagram.com/p/DMqeM4xtTor/
2025-07-25,"[Tarih: 2025-07-25] Unutulmaz Anlarla Veda! Yeilay Genlik ve Gnlllk Kamp, pekyolu Uluslararas ocuk ve Genlik almalar Merkezinde kamp atei eliinde sona erdi. Gnlllk, dayanma ve farkndalkla dolu bu zel kamp; genlerin dostluklarn pekitirdii, rendiklerini paylat, yldzlarn altnda anlar biriktirdii anlaml bir finalle tamamland. Teekkrler gen gnlller!",https://www.instagram.com/p/DMiy5H0tmp9/
2025-07-25,"[Tarih: 2025-07-25] Yeilay Genlik ve Gnlllk Kampnda, pekyolu Uluslararas ocuk ve Genlik almalar Merkezinde bamllk konusu ele alnd. Genlerimiz, bamllk trlerini, etkilerini ve bu sorunla nasl mcadele edilebileceini uzmanlar eliinde rendi. Bilinli bireyler olma yolunda farkndalk kazanan katlmclar, salkl yaamn nemine bir kez daha dikkat ekti.",https://www.instagram.com/p/DMhddkGNpo6/
2025-07-24,"[Tarih: 2025-07-24] Yeilay Genlik ve Gnlllk Kampnda letiim Becerileri Eitimi! Genlerimizle birlikte etkili iletiimin yollarn kefettik, empati, aktif dinleme ve doru ifade teknikleri zerine interaktif bir eitim gerekletirdik. Gnllln temel talarndan biri olan salkl iletiimi glendirmek iin hep birlikte rendik, gelitik!",https://www.instagram.com/p/DMe0xvrNNS0/
2025-07-23,"[Tarih: 2025-07-23] Yeilay Genlik ve Gnlllk Kampnda, pekyolu Uluslararas ocuk ve Genlik almalar Merkezi ev sahipliinde oryantiring etkinlii dzenlendi! Hem fiziksel hem zihinsel becerilerin ne kt bu etkinlik, takm ruhunu ve stratejik dnmeyi pekitirdi.",https://www.instagram.com/p/DMdLydQNvWA/
2025-07-23,"[Tarih: 2025-07-23] Yeilay Genlik ve Gnlllk Kampnda, pekyolu Uluslararas ocuk ve Genlik almalar Merkezi ev sahipliinde teorik ve uygulamal okuluk eitimi gerekletirildi! Genlerimiz hem okuluun tarihsel ve kltrel ynlerini rendi hem de sahada birebir deneyim kazanarak odaklanma, denge ve sabr becerilerini gelitirdi. Geleneksel sporlara olan ilgiyi artran bu eitim, kampn unutulmaz anlarndan biri oldu.",https://www.instagram.com/p/DMc9H95NX0n/
2025-07-23,"[Tarih: 2025-07-23] retiyoruz, reniyoruz! Yeilay Genlik ve Gnlllk Kamp kapsamnda, pekyolu Uluslararas ocuk ve Genlik almalar Merkezinde Sabun Yapm Atlyesi dzenlendi! Genlerimiz hem doal ve salkl sabunlar retmeyi rendi hem de el emeinin deerini kefetti. Atlye boyunca ortaya kan renkli ve mis kokulu sabunlar kampn en keyifli anlarndan biri oldu.",https://www.instagram.com/p/DMc3mnCN_wK/
2025-07-23,"[Tarih: 2025-07-23] Yeilay Genlik ve Gnlllk Kamp'nda bugn Bamllk Endstrisi konusu ele alnd. pekyolu Uluslararas ocuk ve Genlik almalar Merkezinin ev sahipliinde gerekleen kampta genlerimiz bamllklarn sadece bireysel deil; ayn zamanda toplumsal bir mesele olduunu ve bu alandaki endstrinin nasl ilediini derinlemesine renme frsat buldu. Eletirel dnme, bilinli tketim ve direnli bireyler olma yolunda nemli bir adm atld.",https://www.instagram.com/p/DMcb8LzNM5l/
2025-07-22,"[Tarih: 2025-07-22] pekyolunda Yeni Bir Balang! Yeilay Genlik ve Gnlllk Kamp pekyolu Uluslararas ocuk ve Genlik almalar Merkezinde balad! Farkl ehirlerden gelen genlerimiz, doayla i ie, dayanma ve gnlllk temelli bir kamp srecine adm att. Eitimler, atlyeler ve takm almalaryla dolu dolu geecek bu kamp, genlerin kiisel geliimlerine katk salayacak, unutulmaz anlara ev sahiplii yapacak.",https://www.instagram.com/p/DMa0OHKN0Ft/
2025-07-22,"[Tarih: 2025-07-22] Elaz Belediyesi Yaz Okullar kapsamnda eitim alan renciler, pekyolu Uluslararas ocuk ve Genlik almalar Merkezimizi ziyaret etti. Merkezimizde gerekletirilen gezide renciler hem elenceli vakit geirdi hem de eitli atlye ve etkinliklerle kendilerini gelitirme frsat buldu.",https://www.instagram.com/p/DMaEmrYNNLB/
2025-07-19,[Tarih: 2025-07-19] pekyolu Yeilay Kapm Lideri Yetitirme Kamp ipekyolu Uluslararas ocuk ve Genlik almalar Merkezinde ate banda unutulmaz bir veda gecesi ile tamamlad,https://www.instagram.com/p/DMTdBYgtJg5/
2025-07-18,"[Tarih: 2025-07-18] Yeilay Kamp Lideri Yetitirme Kamp'nda ynmz doada bulduk! Bugnk programda katlmclarmzla birlikte Oryantiring Eitimi gerekletirdik. Doayla uyum iinde, liderlik yolculuumuza devam ediyoruz!",https://www.instagram.com/p/DMQ2VVdNyQC/
